nodex,nodey,offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di,score
0,949,3.082,1.929,3.14,1.075,0.433,0.314,297,264,297,264,396,264,0
0,954,3.02,2.082,3.077,0.909,0.439,0.343,297,165,297,165,396,330,0
0,955,3.058,2.547,3.103,1.349,0.576,0.4,297,396,297,396,396,462,0
0,956,3.167,1.517,3.34,0.714,0.329,0.238,297,66,297,66,396,132,0
0,957,3.074,4.197,3.003,2.061,0.963,0.646,297,825,297,825,396,1023,0
0,959,3.103,1.688,3.092,0.829,0.363,0.271,297,132,297,132,396,198,0
0,960,3.02,1.38,3.138,0.794,0.313,0.237,297,99,297,99,396,66,0
0,961,3.133,4.532,3.072,3.018,1.126,0.729,297,1320,297,1320,396,1089,2
0,962,3.105,2.001,3.02,0.972,0.429,0.315,297,198,297,198,396,297,0
0,963,3.061,1.658,3.128,0.721,0.344,0.259,297,66,297,66,396,198,0
0,965,3.134,4.804,3.073,2.603,1.127,0.748,297,1122,297,1122,396,1254,8
0,966,3.088,1.773,3.135,0.833,0.375,0.282,297,132,297,132,396,231,0
0,967,3.041,1.797,2.975,1.121,0.438,0.304,297,297,297,297,396,198,0
0,968,3.291,4.426,3.112,2.728,1.07,0.72,297,1188,297,1188,396,1089,0
0,969,3.028,1.255,3.183,0.579,0.261,0.206,297,0,297,0,396,33,0
0,970,3.117,1.827,3.087,1.003,0.411,0.303,297,231,297,231,396,231,0
0,971,3.133,1.434,3.114,0.711,0.304,0.23,297,66,297,66,396,99,0
0,972,3.801,2.269,3.15,1.179,0.506,0.357,297,330,297,330,396,396,0
0,973,3.251,1.261,3.092,0.709,0.281,0.216,297,66,297,66,396,33,0
0,974,3.098,2.525,3.064,1.298,0.599,0.387,297,396,297,396,396,462,0
0,975,3.105,2.239,2.999,1.128,0.489,0.387,297,9,297,9,396,363,15
0,976,3.3,1.947,3.16,1.179,0.459,0.303,297,330,297,330,396,264,0
0,977,3.373,2.426,3.375,1.326,0.549,0.403,297,396,297,396,396,429,0
0,979,3.045,1.62,3.121,0.889,0.364,0.26,297,165,297,165,396,165,0
0,980,3.091,1.338,3.126,0.829,0.309,0.268,297,132,297,132,396,33,0
0,981,3.026,1.27,3.034,0.668,0.27,0.22,297,33,297,33,396,33,0
0,982,3.041,1.545,3.077,0.773,0.332,0.248,297,99,297,99,396,132,0
0,983,2.994,2.2,3.081,1.252,0.506,0.368,297,363,297,363,396,330,0
0,984,3.045,1.688,3.013,1.068,0.4,0.292,297,264,297,264,396,165,0
0,985,3.086,3.332,3.186,1.707,0.747,0.498,297,627,297,627,396,759,0
0,986,3.143,1.369,3.269,0.684,0.305,0.223,297,33,297,33,396,66,0
