offline_time1,online_time1,offline_time2,online_time2,union_time,intersection_time,ai,bi,ai_prime,bi_prime,ci,di
0.298,2.112,0.298,1.72,0.561,0.316,396,66,396,66,330,33
0.288,2.204,0.288,1.667,0.56,0.315,396,66,396,66,330,33
0.286,2.304,0.283,1.723,0.414,0.315,396,66,396,66,330,33
0.354,2.092,0.289,1.582,0.511,0.359,396,33,396,33,330,33
0.315,1.999,0.288,1.558,0.514,0.295,396,33,396,33,330,0
0.29,2.125,0.284,1.549,0.606,0.3,396,33,396,33,330,33
0.29,2.151,0.284,1.687,0.627,0.296,396,33,396,33,330,33
0.349,2.096,0.291,1.667,0.559,0.314,396,66,396,66,330,33
0.399,2.614,0.37,1.962,0.683,0.376,396,33,396,33,330,33
0.382,3.034,0.36,2.514,0.792,0.579,297,264,297,264,198,165
0.36,1.468,0.355,1.607,0.407,0.273,297,66,297,66,198,33
0.293,2.488,0.285,1.797,0.622,0.412,297,198,297,198,198,231
0.294,1.979,0.278,1.646,0.535,0.334,297,165,297,165,198,132
0.276,1.45,0.278,1.339,0.384,0.272,297,33,297,33,198,33
0.287,2.814,0.285,1.973,0.707,0.451,297,264,297,264,198,297
0.285,2.106,0.3,1.977,0.6,0.392,297,264,297,264,198,132
0.284,2.395,0.284,1.646,0.694,0.371,297,165,297,165,198,198
0.329,1.791,0.28,1.438,0.473,0.312,297,99,297,99,198,99
0.285,2.298,0.278,1.971,0.62,0.411,297,264,297,264,198,165
0.308,2.649,0.297,1.971,0.689,0.416,297,264,297,264,198,264
0.279,1.478,0.282,1.208,0.394,0.252,297,33,297,33,198,33
0.287,2.192,0.283,1.751,0.579,0.391,297,198,297,198,198,165
0.314,5.135,0.3,3.417,1.283,0.77,297,693,297,693,198,726
0.307,2.066,0.277,2.147,0.587,0.454,297,264,297,264,198,99
0.302,2.644,0.29,2.193,0.712,0.495,297,330,297,330,198,231
0.303,2.878,0.289,2.136,0.728,0.495,297,297,297,297,198,297
0.297,1.76,0.282,1.318,0.446,0.312,297,66,297,66,198,99
0.282,2.569,0.283,1.972,0.659,0.474,297,264,297,264,198,231
0.282,1.95,0.279,1.548,0.494,0.333,297,99,297,99,198,132
0.293,2.197,0.298,1.688,0.557,0.392,297,165,297,165,198,165
0.284,1.91,0.274,1.353,0.598,0.273,297,66,297,66,198,33
0.292,2.246,0.285,1.533,0.547,0.372,297,132,297,132,198,198
0.279,2.725,0.282,1.425,0.511,0.345,297,99,297,99,198,165
0.304,2.206,0.324,2.063,0.571,0.412,297,165,297,165,198,165
0.389,2.116,0.33,1.685,0.533,0.416,297,165,297,165,198,132
0.294,1.807,0.28,1.368,0.448,0.343,297,66,297,66,198,99
0.287,2.19,0.281,2.137,0.645,0.429,297,264,297,264,198,132
0.31,3.227,0.287,1.97,0.84,0.492,297,264,297,264,198,264
0.283,1.634,0.286,1.252,0.462,0.273,297,33,297,33,198,66
0.358,1.687,0.28,1.37,0.452,0.275,297,66,297,66,198,66
0.313,2.478,0.285,2.012,0.645,0.441,297,264,297,264,198,198
0.366,2.058,0.333,1.614,0.513,0.333,297,132,297,132,198,132
0.29,2.476,0.289,1.921,0.623,0.508,297,231,297,231,198,198
0.285,1.425,0.277,1.344,0.382,0.254,297,33,297,33,198,33
0.285,2.103,0.283,1.542,0.532,0.352,297,132,297,132,198,165
0.323,1.974,0.279,1.645,0.492,0.352,297,99,297,99,198,132
0.279,1.447,0.275,1.227,0.384,0.252,297,33,297,33,198,33
0.297,3.202,0.308,2.556,0.873,0.552,297,429,297,429,198,330
0.303,2.968,0.304,1.477,0.531,0.367,297,99,297,99,198,99
0.284,1.767,0.28,1.321,0.47,0.292,297,66,297,66,198,99
0.317,2.445,0.291,2.293,0.941,0.477,297,297,297,297,198,99
0.299,2.619,0.281,2.445,0.878,0.613,297,396,297,396,198,132
0.365,2.507,0.677,2.034,0.661,0.424,297,132,297,132,198,132
0.367,3.141,0.36,2.624,0.733,0.457,297,330,297,330,198,264
0.295,2.078,0.287,1.766,0.583,0.378,297,198,297,198,198,132
0.285,1.438,0.37,1.311,0.382,0.262,297,33,297,33,198,33
0.297,3.372,0.311,1.858,0.819,0.582,297,198,297,198,198,264
0.36,2.036,0.359,1.543,0.51,0.387,297,33,297,33,198,66
0.356,1.686,0.352,1.527,0.454,0.384,297,33,297,33,198,0
0.375,2.296,0.386,1.827,0.576,0.392,297,165,297,165,198,198
0.284,1.993,0.281,1.654,0.531,0.351,297,165,297,165,198,132
0.278,1.779,0.281,1.425,0.465,0.311,297,99,297,99,198,99
0.272,1.79,0.308,1.54,0.411,0.349,297,33,297,33,198,33
0.455,2.301,0.359,1.962,0.624,0.398,297,132,297,132,198,99
0.362,1.766,0.379,2.012,0.466,0.312,297,132,297,132,198,66
0.284,1.457,0.28,1.32,0.4,0.272,297,66,297,66,198,33
0.281,2.341,0.289,1.643,0.581,0.356,297,165,297,165,198,198
0.297,2.306,0.287,1.754,0.594,0.383,297,198,297,198,198,198
0.29,1.761,0.304,1.335,0.486,0.312,297,99,297,99,198,99
0.295,2.232,0.289,1.428,0.533,0.367,297,99,297,99,198,198
0.285,3.217,0.287,1.743,0.738,0.475,297,132,297,132,198,231
0.369,1.937,0.352,1.818,0.553,0.383,297,99,297,99,198,33
0.352,1.817,0.354,1.665,0.421,0.286,297,33,297,33,198,66
0.319,1.339,0.303,1.244,0.378,0.269,297,33,297,33,198,0
0.289,1.933,0.287,1.762,0.53,0.359,297,198,297,198,198,99
0.282,1.967,0.282,1.316,0.472,0.315,297,66,297,66,198,132
0.298,2.452,0.287,1.596,0.594,0.377,297,132,297,132,198,231
0.285,2,0.297,1.578,0.519,0.332,297,132,297,132,198,132
0.282,1.693,0.379,1.561,0.467,0.313,297,132,297,132,198,66
0.316,2.307,0.289,1.753,0.597,0.372,297,198,297,198,198,198
0.286,1.976,0.286,1.647,0.531,0.332,297,165,297,165,198,132
0.284,1.764,0.32,1.442,0.466,0.293,297,99,297,99,198,99
0.289,1.998,0.321,1.713,0.538,0.332,297,165,297,165,198,132
0.279,1.692,0.308,1.429,0.442,0.349,297,99,297,99,198,66
0.323,1.799,0.28,1.548,0.484,0.312,297,132,297,132,198,99
0.282,2.332,0.28,1.811,0.598,0.392,297,198,297,198,198,198
0.382,1.908,0.303,1.439,0.484,0.313,297,99,297,99,198,132
0.28,1.303,0.278,1.315,0.343,0.223,297,66,297,66,198,66
0.23,1.319,0.236,1.162,0.353,0.224,297,66,297,66,198,66
0.23,1.389,0.231,0.992,0.328,0.241,297,33,297,33,198,66
0.241,2.15,0.234,1.352,0.504,0.37,297,165,297,165,198,264
0.234,1.164,0.226,1.002,0.313,0.207,297,33,297,33,198,33
0.23,1.345,0.283,1.19,0.366,0.24,297,99,297,99,198,66
0.234,2.235,0.256,1.718,0.578,0.388,297,297,297,297,198,264
0.227,1.32,0.23,1.106,0.348,0.229,297,66,297,66,198,66
0.231,1.127,0.225,0.986,0.291,0.208,297,33,297,33,198,0
0.236,1.16,0.257,1.003,0.307,0.207,297,33,297,33,198,33
0.23,1.548,0.232,1.429,0.42,0.274,297,165,297,165,198,99
0.234,1.515,0.231,1.26,0.4,0.259,297,132,297,132,198,99
0.235,1.386,0.226,1.261,0.383,0.268,297,132,297,132,198,66
0.231,1.412,0.248,1.264,0.406,0.273,297,132,297,132,198,66
0.234,1.315,0.23,1.092,0.335,0.224,297,33,297,33,198,66
0.236,1.341,0.23,1.173,0.366,0.24,297,99,297,99,198,66
0.235,2.024,0.236,1.353,0.487,0.357,297,165,297,165,198,231
0.244,1.459,0.235,1.174,0.379,0.256,297,99,297,99,198,99
0.233,1.337,0.23,1.173,0.361,0.24,297,99,297,99,198,66
0.229,1.332,0.234,1.086,0.313,0.205,297,66,297,66,198,99
0.198,0.996,0.196,0.858,0.264,0.177,297,33,297,33,198,33
0.206,0.995,0.203,0.852,0.263,0.178,297,33,297,33,198,33
0.194,1.359,0.197,1.004,0.34,0.237,297,99,297,99,198,132
0.197,1.023,0.193,0.928,0.279,0.192,297,66,297,66,198,33
0.197,0.994,0.195,0.855,0.263,0.177,297,33,297,33,198,33
0.195,1.024,0.194,0.931,0.278,0.192,297,66,297,66,198,33
0.205,1.058,0.193,0.93,0.314,0.192,297,66,297,66,198,33
